"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X2624"	37	27	29	38	38	12	24	36
"X2628"	38	27	30	37	40	11	24	38
"X2629"	36	31	32	38	40	12	24	40
"X2638"	38	28	29	36	39	11	24	39
"X264"	40	29	33	39	41	12	24	42
"X2641"	41	31	33	40	41	12	24	42
"X2643"	38	25	28	38	35	11	20	36
"X2645"	41	31	33	40	40	12	24	42
"X2646"	37	29	32	39	37	12	23	36
"X2647"	34	27	28	32	36	10	22	34
"X2651"	36	28	29	35	36	12	23	36
"X2652"	38	31	31	38	39	12	23	40
"X2653"	41	31	32	39	40	12	24	40
"X266"	39	28	27	37	39	11	24	38
"X2661"	36	29	27	39	35	11	23	37
"X2664"	41	31	32	39	41	12	24	41
"X267"	37	29	31	36	37	11	23	40
"X2671"	41	31	33	40	40	12	24	40
"X2673"	40	31	32	40	40	12	24	41
"X2680"	41	31	33	40	41	12	24	42
"X2681"	41	31	30	39	41	12	24	42
"X2687"	41	31	33	40	41	12	24	42
"X2688"	36	27	27	34	35	10	23	36
"X2689"	41	30	33	40	41	12	24	41
"X269"	40	29	33	40	40	12	23	40
"X2691"	41	31	33	40	41	12	24	42
"X2693"	34	28	31	34	39	12	23	37
"X2696"	40	31	30	40	41	12	24	40
"X2698"	39	28	31	37	40	11	24	39
"X270"	41	30	33	40	41	12	24	41
"X2701"	36	28	29	37	39	11	22	40
"X2705"	39	27	33	37	38	11	24	39
"X271"	40	30	33	38	39	11	24	41
"X2712"	41	31	33	40	40	12	24	42
"X2715"	39	28	32	35	40	12	22	41
"X2716"	40	31	33	40	41	12	24	42
"X2717"	39	30	32	38	40	12	24	41
"X2719"	41	30	32	39	40	12	24	40
"X2722"	41	30	33	39	41	12	24	42
"X2727"	37	30	30	39	36	12	24	36
"X2730"	36	29	32	35	36	10	22	38
"X2734"	34	27	25	35	36	10	21	33
"X2735"	41	31	33	38	41	12	24	40
"X2743"	37	31	32	38	37	11	24	39
"X2751"	38	30	31	39	39	12	24	40
"X2754"	41	28	29	39	41	12	24	40
"X2755"	39	31	33	40	40	12	24	42
"X2758"	39	28	31	37	40	11	24	39
"X2762"	37	29	33	37	39	12	23	41
"X2766"	37	26	27	37	38	11	23	35
"X2768"	39	28	31	37	40	11	24	39
"X2769"	39	30	32	39	39	10	24	40
"X277"	38	30	33	38	41	12	24	41
"X2772"	37	31	30	38	40	10	24	39
"X2773"	40	27	29	40	36	11	23	38
"X2776"	38	30	33	38	39	12	24	40
"X2783"	39	31	28	33	37	12	22	37
"X2788"	37	28	31	37	39	11	24	36
"X2793"	36	29	32	35	38	11	23	38
"X2794"	41	30	33	40	41	12	24	41
"X2797"	35	28	32	34	38	12	24	38
"X2798"	39	28	31	37	40	11	24	39
"X280"	41	31	33	40	41	12	24	42
"X2800"	41	31	33	40	40	12	24	42
"X2801"	36	29	30	39	37	12	23	40
"X2815"	41	31	31	37	41	12	22	41
"X2822"	39	31	33	40	41	12	24	42
"X2824"	37	26	29	37	37	11	24	36
"X2829"	41	31	33	40	41	12	24	42
"X2830"	41	29	31	39	37	12	24	38
"X2832"	39	30	30	37	40	12	24	41
"X2833"	37	31	32	39	39	12	24	41
"X2835"	41	31	33	40	41	12	24	42
"X2840"	39	28	32	39	41	12	24	40
"X2844"	41	31	33	39	41	12	24	42
"X2847"	40	30	32	40	41	11	24	40
"X2850"	41	31	33	40	41	12	24	42
"X2851"	37	30	31	39	38	12	24	39
"X2852"	37	30	32	39	38	12	24	39
"X2854"	32	27	27	35	32	9	22	35
"X2856"	41	31	33	40	41	12	24	42
"X2858"	38	28	30	36	39	11	24	38
"X2859"	41	28	33	38	40	11	24	41
"X286"	38	28	31	37	38	11	24	38
"X2863"	35	29	26	36	37	11	24	37
"X2867"	41	31	33	40	41	12	24	42
"X2870"	41	30	32	36	41	12	24	41
"X2871"	37	23	29	34	37	11	23	36
"X2872"	41	31	33	40	41	12	24	42
"X2873"	41	31	33	40	41	12	24	42
"X2876"	41	31	33	40	40	12	24	42
"X2883"	38	30	33	39	41	12	24	42
"X2885"	41	31	33	40	41	12	24	42
"X2889"	41	30	33	40	41	12	24	41
"X2892"	41	30	33	40	40	12	24	42
"X2893"	35	29	30	35	38	12	23	38
"X2894"	39	31	33	38	41	12	24	42
"X2898"	39	28	31	37	40	11	24	39
"X2899"	37	28	32	33	39	12	24	41
"X2900"	38	31	30	38	39	12	24	41
"X2902"	38	29	29	38	33	10	24	40
"X2903"	40	28	27	37	39	11	24	38
"X2904"	40	31	33	40	41	12	24	42
"X2905"	37	30	29	38	38	11	24	37
"X2907"	38	31	33	38	39	12	23	39
"X2909"	35	25	30	37	34	11	21	36
"X2912"	36	28	33	37	40	12	24	37
"X2913"	39	28	30	38	39	12	24	40
"X2914"	40	30	33	39	37	12	24	42
"X2916"	40	28	30	38	39	12	23	42
"X2917"	38	28	31	36	38	12	22	40
"X2919"	41	31	31	40	40	12	24	42
"X2926"	41	31	33	40	41	12	24	40
"X2927"	41	31	33	39	40	12	24	42
"X293"	35	30	32	36	39	12	23	37
"X2936"	36	28	30	39	39	12	23	36
"X2937"	37	29	30	35	37	11	23	38
"X2942"	38	28	30	39	38	12	24	39
"X2946"	38	31	30	39	36	10	24	40
"X2951"	34	28	30	35	34	12	22	37
"X2953"	41	31	33	40	41	12	24	42
"X2955"	41	31	33	40	41	12	24	42
"X2957"	39	31	33	35	38	12	24	42
"X2961"	41	31	33	40	41	12	24	42
"X2962"	41	31	33	40	41	12	24	42
"X2963"	37	29	29	38	37	12	24	39
"X2966"	34	28	27	33	37	11	24	39
"X2967"	37	30	30	38	36	10	24	41
"X2975"	41	31	32	40	41	12	24	42
"X2983"	41	31	33	40	41	12	24	42
"X2985"	40	31	33	40	40	11	24	41
"X2991"	34	29	30	38	34	10	23	37
"X2995"	41	31	33	40	41	12	23	41
"X2998"	37	28	31	37	40	11	24	39
"X3001"	36	28	31	37	39	12	24	42
"X3003"	41	28	29	40	40	12	24	41
"X3004"	35	27	30	38	38	12	24	39
"X3006"	41	30	33	40	40	12	24	41
"X3008"	39	28	29	36	40	11	24	37
"X3010"	41	29	33	39	41	12	24	41
"X3012"	40	30	33	40	40	12	23	39
"X3013"	38	31	31	38	38	12	24	38
"X3017"	40	31	29	35	37	11	23	40
"X3019"	41	31	33	40	39	11	23	41
"X3020"	40	31	33	40	41	12	24	42
"X3022"	40	31	33	40	41	12	24	39
"X3025"	37	30	33	39	38	12	24	42
"X3026"	38	31	32	40	39	11	24	41
"X3034"	39	31	32	39	41	12	24	40
"X304"	36	29	33	40	38	12	24	40
"X3041"	40	30	33	40	40	11	24	42
"X3050"	41	31	33	40	41	12	23	42
"X3051"	38	30	31	38	39	12	24	40
"X3055"	38	30	33	38	41	12	22	41
"X3056"	41	30	33	40	39	11	24	41
"X3057"	39	28	32	37	38	12	24	42
"X3059"	40	28	29	38	40	11	24	38
"X306"	40	31	32	39	41	12	24	42
"X3063"	37	30	29	38	39	12	24	39
"X3071"	38	30	32	39	41	12	24	40
"X3072"	38	30	32	39	40	12	24	39
"X3073"	40	31	33	40	41	12	24	39
"X3086"	38	28	31	38	39	11	24	38
"X3091"	41	31	33	40	41	12	24	42
"X3098"	39	28	31	37	40	11	24	39
"X3100"	38	29	28	36	36	11	24	39
"X3101"	41	31	32	40	41	12	24	41
"X3108"	39	28	30	37	39	11	24	39
"X3115"	39	30	32	38	40	12	21	42
"X312"	40	30	30	35	40	12	23	38
"X3124"	37	27	29	38	38	12	24	36
"X3131"	41	31	33	40	41	12	24	42
"X3135"	38	27	31	40	40	12	24	41
"X3136"	36	29	32	39	38	12	24	39
"X3138"	38	28	29	36	39	11	24	39
"X314"	41	29	30	39	41	12	24	42
"X3142"	40	29	31	40	40	12	23	40
"X3144"	39	29	27	36	35	12	22	38
"X3146"	39	31	32	40	40	12	24	41
"X3154"	40	29	26	40	40	11	24	40
"X3157"	38	30	33	37	37	11	24	41
"X316"	39	30	32	40	41	11	23	42
"X3160"	41	31	33	40	41	12	24	42
"X3162"	41	30	33	40	41	12	24	42
"X3165"	40	30	28	40	40	12	23	38
"X3169"	41	31	33	40	41	12	24	42
"X3172"	40	31	32	40	41	12	24	41
"X3173"	37	31	30	38	40	12	24	40
"X3175"	37	29	27	39	37	11	24	38
"X3176"	38	28	33	39	41	12	24	42
"X318"	33	26	26	31	34	11	22	32
"X3180"	41	30	33	40	41	12	24	41
"X3181"	40	29	31	38	39	12	23	40
"X3185"	40	31	33	40	41	12	24	41
"X3187"	41	31	33	40	41	12	24	42
"X3188"	38	27	30	37	36	11	24	38
"X3189"	41	29	31	35	40	12	24	38
"X3192"	40	29	33	40	41	12	24	42
"X3193"	36	28	31	36	39	12	22	36
"X3196"	36	30	29	33	37	12	24	40
"X3198"	35	26	28	36	37	11	24	34
"X320"	41	30	33	38	41	12	24	41
"X3200"	34	26	28	35	36	12	22	38
"X3201"	37	29	30	38	35	11	24	42
"X3202"	41	27	31	38	41	12	23	38
"X3204"	38	27	29	33	37	11	22	38
"X3207"	33	28	29	37	36	11	22	39
"X3208"	36	28	28	36	36	11	24	36
"X3211"	41	31	32	39	39	12	24	41
"X3213"	40	29	28	38	39	12	22	38
"X3215"	41	31	32	39	40	12	22	42
"X3217"	39	30	32	38	39	12	24	41
"X3221"	40	30	33	40	41	12	24	42
"X3224"	36	26	29	37	36	12	24	36
"X3226"	41	31	33	40	40	12	24	42
"X323"	35	31	29	37	36	12	24	39
"X3232"	38	29	29	37	34	10	24	37
"X3235"	41	31	33	40	41	12	24	42
"X3238"	38	28	29	35	39	11	24	39
"X3241"	41	31	33	40	41	12	24	42
"X3246"	40	31	32	38	39	12	24	40
"X3248"	39	28	31	33	37	11	23	37
"X3249"	38	27	28	38	39	10	23	38
"X3253"	40	31	33	39	41	12	24	42
"X3254"	39	30	32	39	40	12	24	41
"X3255"	41	28	33	38	40	12	24	40
"X3258"	36	28	31	37	38	11	24	37
"X326"	41	31	33	40	41	12	24	42
"X3260"	37	31	33	37	40	12	24	38
"X3265"	40	30	32	39	40	11	23	40
"X3270"	41	30	33	40	41	12	23	41
"X328"	34	28	31	37	38	11	24	38
"X3281"	41	31	33	40	41	12	24	42
"X3285"	41	31	33	40	41	12	24	42
"X3286"	36	28	30	35	36	11	23	35
"X3287"	40	29	33	40	41	12	24	42
"X3295"	40	31	33	39	38	11	23	40
"X3297"	41	30	33	40	40	12	23	42
"X3299"	37	29	31	34	37	12	24	40
"X33"	41	31	33	40	41	12	24	42
"X330"	41	31	33	40	39	12	24	41
"X3303"	39	30	32	38	38	12	24	42
"X3305"	41	31	33	40	41	12	24	41
"X3306"	39	31	32	38	40	12	24	42
"X3307"	41	31	33	39	41	12	23	39
"X3311"	41	31	33	40	41	12	24	42
"X3312"	36	28	29	35	37	11	23	37
"X332"	41	31	33	40	40	12	24	42
"X3320"	41	30	33	38	41	12	24	41
"X3326"	34	29	32	38	37	12	23	39
"X3327"	41	31	33	40	41	12	24	42
"X3328"	34	27	29	37	37	11	24	36
"X3329"	41	31	33	40	41	12	24	42
"X3330"	36	28	31	40	35	12	22	38
"X3332"	39	30	33	37	39	12	24	41
"X3335"	39	28	33	39	41	12	24	42
"X3340"	41	31	33	39	40	12	24	39
"X3353"	37	30	33	39	39	11	24	41
"X3354"	40	29	32	40	39	12	24	40
"X3356"	34	28	29	36	39	11	23	36
"X3357"	41	30	33	40	40	12	24	42
"X3362"	37	29	30	38	38	11	23	39
"X3365"	39	30	32	39	40	11	24	39
"X3367"	41	31	33	39	41	12	24	42
"X337"	41	30	33	38	41	12	23	41
"X3370"	41	31	33	40	41	12	24	42
"X3371"	41	31	33	37	41	12	23	42
"X3372"	40	31	33	40	39	12	24	42
"X3373"	38	31	33	38	41	12	24	42
"X3374"	36	28	33	37	35	10	23	39
"X3375"	38	26	30	37	39	11	22	37
"X3378"	33	27	30	35	36	10	24	37
"X3388"	39	27	30	37	40	11	24	38
"X3389"	38	30	30	37	38	12	24	39
"X3390"	41	31	33	40	41	12	24	42
"X3399"	41	31	32	40	41	12	24	42
"X3400"	39	29	32	37	39	11	22	37
"X3402"	38	30	31	38	40	12	24	42
"X3408"	39	28	30	36	39	11	24	37
"X3409"	41	31	33	39	41	12	23	42
"X3410"	41	31	33	40	41	12	24	42
"X3419"	40	31	31	40	40	12	24	40
"X342"	41	29	33	40	40	12	24	42
"X3422"	38	31	28	35	36	11	24	38
"X3423"	36	31	31	37	36	12	24	39
"X3436"	36	29	32	38	39	12	24	39
"X3443"	39	27	32	32	37	12	22	41
"X3444"	39	28	31	37	40	12	23	39
"X3446"	40	31	33	40	40	12	24	41
"X345"	41	31	33	39	41	12	24	42
"X346"	40	31	32	39	38	12	24	41
"X3462"	40	27	30	39	41	12	24	42
"X3465"	35	28	30	33	36	11	23	36
"X3466"	39	27	27	36	39	11	24	39
"X3468"	37	28	30	37	40	11	24	39
"X3471"	40	31	32	38	38	12	23	41
"X3474"	37	27	30	38	38	11	23	38
"X3479"	39	30	32	39	40	12	24	41
"X3483"	39	30	33	40	41	12	23	42
"X3485"	41	31	32	40	41	12	24	42
"X3487"	39	29	32	39	38	12	23	41
"X3489"	41	30	33	40	41	12	24	40
"X3491"	41	31	29	36	41	12	24	42
"X3495"	41	31	33	38	41	12	24	42
"X3497"	40	30	32	36	38	12	24	41
"X3498"	38	28	31	37	40	11	24	39
"X3504"	41	31	33	40	41	12	24	41
"X3509"	39	30	28	38	39	12	24	41
"X3510"	35	31	32	40	39	12	24	39
"X3511"	39	31	31	39	40	12	24	41
"X3512"	40	31	33	39	41	12	24	42
"X3514"	40	30	33	40	41	12	24	41
"X3518"	39	27	28	37	37	11	24	38
"X352"	40	30	31	39	36	12	24	39
"X3522"	41	30	32	40	41	12	24	42
"X3525"	40	30	33	40	41	12	24	42
"X3528"	37	28	30	36	40	11	24	38
"X3530"	38	30	32	38	41	12	23	42
"X3534"	41	31	33	39	41	12	24	42
"X3537"	40	30	33	38	41	12	23	41
"X354"	40	29	32	40	39	12	24	40
"X3542"	39	30	32	40	40	11	24	42
"X3543"	41	30	32	40	40	12	24	40
"X3544"	38	29	33	36	33	11	23	37
"X3545"	40	31	31	40	39	12	24	42
"X3558"	39	28	30	37	40	11	24	39
"X3561"	41	31	32	40	41	12	24	42
"X3564"	37	27	31	34	36	12	24	36
"X3571"	40	30	33	40	41	12	24	42
"X3572"	41	31	33	40	41	12	24	42
"X358"	36	28	30	36	39	11	23	38
"X3580"	40	31	33	40	40	12	24	41
"X3583"	41	28	30	39	41	12	24	41
"X3586"	36	28	30	38	39	11	24	35
"X3587"	41	31	32	40	40	12	24	41
"X3588"	39	28	31	37	39	11	24	39
"X359"	40	31	33	39	41	12	24	42
"X36"	37	29	32	39	39	12	24	39
"X360"	37	30	32	35	37	10	23	40
"X3604"	36	31	31	38	37	11	24	37
"X3609"	40	31	33	39	41	12	24	42
"X3616"	40	30	32	37	40	11	24	41
"X362"	41	31	33	40	41	12	24	41
"X3623"	36	31	31	37	35	12	24	39
"X3625"	41	31	33	38	41	12	24	41
"X3629"	41	31	33	39	41	12	24	42
"X3630"	39	31	33	40	39	12	24	41
"X3631"	41	30	32	40	40	12	24	41
"X3634"	37	30	31	39	35	11	24	36
"X3635"	39	27	32	34	38	11	24	42
"X3641"	40	28	27	39	38	12	23	40
"X3644"	41	31	33	40	41	12	24	42
"X3651"	38	28	30	37	36	12	24	40
"X3653"	40	29	32	38	40	12	24	41
"X3654"	38	30	29	40	35	12	24	40
"X3656"	41	31	33	40	41	12	24	42
"X3658"	38	28	31	37	39	11	24	39
"X366"	36	28	26	37	37	11	23	36
"X3661"	41	31	33	40	41	12	24	42
"X3668"	39	28	31	37	40	11	24	39
"X3670"	34	27	29	33	39	10	23	36
"X3673"	40	31	32	39	41	12	24	42
"X3674"	41	31	32	40	41	12	24	42
"X3679"	40	30	31	40	40	12	24	41
"X368"	39	28	31	36	40	11	24	39
"X3681"	41	30	33	40	41	12	24	42
"X3687"	41	31	33	40	41	12	24	42
"X369"	39	29	33	38	38	12	24	41
"X3690"	40	28	31	38	41	12	24	39
"X3693"	36	30	32	36	39	12	23	38
"X3698"	36	28	31	34	38	10	24	35
"X37"	41	31	33	38	41	12	23	41
"X3705"	41	31	33	40	41	12	23	42
"X3707"	35	30	31	40	38	12	23	38
"X3708"	37	26	28	36	36	11	24	36
"X3711"	41	30	33	40	41	12	24	41
"X3712"	40	25	31	37	39	10	24	37
"X3716"	39	30	33	40	41	12	23	41
"X3717"	40	31	32	38	40	12	24	41
"X3720"	39	27	32	38	38	11	24	40
"X3721"	38	28	33	40	41	12	24	42
"X3722"	37	29	32	36	38	12	24	38
"X3726"	41	31	33	39	41	12	24	42
"X373"	39	31	33	40	41	12	24	42
"X3735"	41	31	33	39	40	12	23	41
"X3747"	39	26	31	37	39	12	24	39
"X375"	40	31	33	40	41	12	24	42
"X3751"	37	29	30	37	37	12	24	40
"X3754"	41	31	33	40	41	12	24	42
"X3756"	41	31	33	40	41	12	24	41
"X3758"	39	28	31	37	40	11	24	39
"X376"	41	31	33	40	41	12	24	42
"X3761"	40	29	31	39	40	11	24	40
"X3763"	35	29	26	36	32	11	24	37
"X3764"	41	30	33	39	39	12	24	41
"X3765"	39	28	28	38	36	11	24	35
"X3766"	39	28	27	36	38	10	24	38
"X3767"	41	31	33	39	41	12	24	42
"X3768"	36	28	29	37	37	11	24	38
"X3774"	40	28	28	33	37	11	22	40
"X3776"	38	30	30	36	39	12	24	40
"X3777"	37	30	30	38	38	10	23	41
"X3778"	35	28	31	35	39	11	24	39
"X3779"	41	31	32	40	40	12	24	42
"X3780"	41	29	33	40	41	12	24	42
"X3787"	41	31	32	40	41	12	24	42
"X3793"	35	28	31	36	39	11	23	38
"X3797"	41	31	33	39	41	12	24	41
"X38"	38	28	29	36	39	11	24	39
"X380"	41	31	31	39	41	12	24	42
"X3800"	41	30	31	38	41	12	24	42
"X3807"	39	30	33	36	40	12	23	40
"X3810"	39	30	32	37	37	12	23	40
"X3812"	40	31	33	40	41	12	24	40
"X3819"	41	31	33	40	41	12	23	42
"X382"	40	31	33	40	41	12	24	42
"X3820"	38	31	32	38	38	11	23	41
"X3822"	41	31	33	40	41	12	23	42
"X3824"	33	26	25	36	37	11	24	36
"X3826"	41	31	33	40	41	12	24	42
"X3829"	41	31	33	40	41	12	24	42
"X3830"	41	31	33	40	41	12	24	42
"X3836"	37	29	32	39	36	10	24	37
"X3840"	39	31	32	40	40	12	24	39
"X3843"	35	31	33	40	37	12	24	36
"X3847"	38	30	33	40	41	12	24	41
"X3850"	41	30	32	39	40	12	24	41
"X3852"	41	30	33	40	41	12	24	42
"X3857"	40	28	29	38	37	11	24	38
"X3862"	41	31	33	40	40	12	24	42
"X3868"	37	28	30	36	37	10	24	37
"X3871"	38	25	29	37	37	12	23	39
"X3874"	40	31	33	40	41	12	24	42
"X3875"	40	29	33	40	40	12	24	39
"X3877"	41	31	33	40	41	12	24	42
"X3879"	41	31	32	40	40	12	24	42
"X3882"	38	31	33	38	41	12	24	41
"X3885"	41	31	33	40	41	12	24	42
"X389"	39	30	33	38	39	12	24	40
"X3891"	40	27	31	40	41	12	23	40
"X3894"	41	31	31	39	41	12	24	42
"X3895"	41	31	32	39	41	12	24	42
"X3897"	39	30	33	38	40	11	24	40
"X3898"	38	28	31	36	40	11	23	38
"X3900"	39	30	32	37	41	11	22	39
"X3903"	39	31	33	40	41	12	24	42
"X3916"	40	31	33	40	41	12	24	42
"X3918"	39	28	30	36	38	11	24	37
"X3922"	39	31	31	38	41	12	24	39
"X3925"	39	30	32	40	40	12	24	41
"X3928"	39	28	31	37	40	11	24	39
"X3931"	41	31	33	39	40	12	24	42
"X3935"	36	30	32	39	40	11	23	41
"X3946"	39	31	33	39	38	12	24	40
"X3951"	35	29	30	35	34	12	22	37
"X3956"	38	30	31	38	39	11	22	38
"X3957"	38	26	31	37	39	11	24	39
"X396"	41	31	32	40	40	12	24	41
"X3960"	39	31	32	40	40	12	24	42
"X3961"	40	30	33	39	41	12	24	39
"X3964"	41	31	33	40	41	12	24	42
"X3968"	34	27	30	36	36	10	23	37
"X397"	39	27	32	38	36	11	24	38
"X3970"	37	28	27	37	37	12	24	42
"X3975"	41	31	33	40	41	12	24	42
"X3977"	36	30	32	40	38	12	24	39
"X3978"	35	28	31	36	38	11	23	39
"X3982"	41	27	30	36	39	11	24	36
"X3986"	36	28	31	38	39	11	24	38
"X3989"	33	26	28	35	37	12	22	37
"X3991"	38	29	31	36	40	12	24	38
"X3998"	38	28	31	37	40	11	24	39
"X3999"	40	31	33	39	41	12	24	42
"X40"	41	31	33	40	41	12	24	40
"X400"	39	30	32	38	39	12	22	40
"X4004"	41	31	33	40	41	12	24	42
"X4017"	40	31	31	38	40	12	24	40
"X4020"	41	31	33	40	41	12	24	41
"X4022"	41	31	33	40	41	12	24	42
"X4023"	36	31	31	37	36	12	24	38
"X4027"	41	31	33	40	40	12	24	41
"X4028"	39	28	31	37	40	11	24	39
"X4031"	40	31	33	40	41	12	24	42
"X4036"	33	27	29	34	37	12	24	36
"X4038"	38	28	28	36	39	11	24	39
"X4040"	38	29	31	40	39	12	24	38
"X4043"	39	29	31	38	39	12	24	39
"X4044"	41	31	33	40	39	12	24	42
"X4045"	41	31	33	40	40	12	24	41
"X4046"	40	30	33	40	40	11	24	39
"X4049"	37	31	33	40	41	11	24	40
"X405"	40	30	33	40	41	12	24	42
"X4055"	36	30	32	38	38	11	24	41
"X4059"	41	31	33	40	41	12	24	42
"X406"	39	30	32	39	37	12	24	39
"X4064"	41	31	33	40	41	12	23	41
"X4070"	40	31	33	40	41	12	24	42
"X4073"	39	29	33	40	39	12	24	41
"X4077"	41	31	33	40	41	12	24	42
"X4079"	41	31	32	39	38	12	24	38
"X408"	39	28	30	37	40	11	24	38
"X4085"	37	30	32	37	39	11	24	41
"X4087"	41	31	32	38	38	11	24	41
"X409"	41	31	33	40	41	12	23	42
"X4091"	38	31	28	36	39	11	23	38
"X4093"	36	30	31	36	37	12	23	38
"X4096"	41	31	32	39	41	12	24	42
"X4098"	39	28	31	37	40	11	24	38
"X41"	41	31	33	40	41	12	24	42
"X4102"	37	26	29	37	35	10	23	37
"X4103"	41	29	32	40	41	12	24	40
"X4106"	41	31	32	40	41	12	24	42
"X4107"	36	29	32	37	39	11	24	39
"X4112"	37	31	30	37	34	12	23	38
"X412"	35	28	30	39	37	11	23	39
"X4122"	34	29	33	39	37	11	23	38
"X4125"	38	27	29	36	35	11	23	39
"X413"	41	31	33	40	40	12	23	40
"X4131"	39	29	33	39	40	12	24	41
"X4135"	36	30	29	36	34	11	22	39
"X4138"	38	28	29	36	37	11	24	38
"X414"	41	31	33	40	41	12	24	42
"X4140"	37	30	30	38	36	10	21	33
"X4142"	39	29	30	40	41	11	24	39
"X4143"	40	31	31	39	39	12	24	39
"X4147"	39	31	33	40	41	12	24	42
"X4148"	37	28	28	36	37	11	24	36
"X415"	41	31	32	39	41	12	22	41
"X4150"	40	31	33	40	40	12	24	42
"X4151"	37	30	26	38	38	12	24	40
"X4155"	41	31	33	40	41	12	24	42
"X4157"	36	27	31	39	38	11	24	40
"X4161"	40	31	28	39	41	12	23	40
"X4166"	39	28	27	37	39	11	24	39
"X4168"	39	28	29	37	37	11	24	39
"X4169"	41	31	33	40	41	12	24	42
"X4173"	40	31	33	40	40	12	24	41
"X4174"	37	29	33	38	38	11	24	39
"X4176"	39	31	33	40	41	12	24	42
"X4177"	41	31	33	40	41	12	24	42
"X4180"	39	29	28	33	37	11	24	40
"X4182"	41	31	33	40	41	12	24	42
"X4184"	41	31	33	40	41	12	24	42
"X4186"	34	27	30	37	39	10	24	37
"X4190"	40	29	32	40	41	11	24	42
"X4193"	31	29	31	35	36	12	23	38
"X4194"	40	31	32	38	39	12	24	41
"X4199"	36	29	29	37	37	12	23	37
"X4204"	37	26	29	34	38	11	22	36
"X4206"	40	31	33	34	38	12	23	40
"X4210"	40	30	33	40	40	12	24	41
"X4211"	41	31	32	39	40	12	24	41
"X4213"	36	28	27	36	38	11	22	36
"X4216"	35	29	29	35	38	11	23	38
"X422"	38	31	28	35	36	11	24	38
"X4223"	33	31	31	37	34	11	24	37
"X4224"	37	27	29	38	38	12	24	36
"X4227"	41	30	32	39	41	12	23	41
"X423"	36	31	31	37	36	12	24	39
"X4233"	40	31	32	38	40	12	24	42
"X4234"	40	30	32	40	38	12	24	40
"X4235"	34	27	30	37	36	11	24	40
"X4236"	36	28	31	34	37	12	24	38
"X4239"	33	27	27	37	38	12	23	36
"X424"	36	26	29	37	38	12	24	35
"X4243"	41	29	30	38	39	12	24	41
"X4246"	39	31	33	40	40	12	24	41
"X4249"	38	27	28	36	39	11	24	40
"X4250"	41	31	33	40	41	12	24	42
"X4253"	41	31	33	40	41	12	24	42
"X4254"	40	31	33	40	40	12	24	42
"X4257"	36	29	27	36	38	12	21	35
"X426"	41	31	33	38	41	12	24	41
"X4260"	34	31	32	36	39	12	24	38
"X4261"	38	28	31	38	36	11	23	39
"X4263"	36	29	28	38	39	12	24	39
"X4265"	41	31	32	40	40	12	24	42
"X4267"	37	29	30	36	36	11	23	40
"X4268"	37	27	27	34	38	11	24	35
"X4270"	41	30	33	40	41	12	24	41
"X4271"	40	30	33	38	39	11	24	41
"X4276"	40	30	33	39	41	12	24	39
"X4278"	36	27	31	36	39	11	24	38
"X4280"	40	30	32	40	40	12	24	40
"X4291"	41	31	33	40	41	12	24	42
"X4293"	35	30	32	36	39	12	23	37
"X4299"	40	31	33	39	41	12	24	42
"X4304"	34	28	28	37	34	11	24	40
"X4311"	41	31	33	40	40	12	24	42
"X4312"	40	30	30	35	40	12	23	38
"X4317"	36	31	30	33	37	12	24	38
"X4318"	30	25	24	30	32	10	20	29
"X4320"	37	30	30	37	37	11	24	39
"X4322"	41	31	33	40	41	12	24	42
"X4325"	41	31	33	40	41	12	24	42
"X4328"	34	28	31	37	38	11	24	38
"X4332"	41	30	32	39	38	11	24	41
"X4339"	41	30	33	40	40	12	23	42
"X4340"	40	31	33	40	41	12	24	40
"X4344"	38	28	31	36	38	11	24	39
"X4348"	39	27	30	35	38	11	23	38
"X4349"	38	29	30	37	38	11	23	39
"X4350"	36	30	32	36	36	10	22	37
"X4353"	40	31	32	40	40	12	24	41
"X4357"	41	31	33	40	41	12	24	42
"X4360"	36	30	32	35	37	10	23	40
"X4362"	39	31	32	40	41	12	24	41
"X4373"	36	30	33	39	40	11	24	42
"X4374"	38	29	31	37	38	11	23	39
"X4376"	41	30	33	39	41	12	24	42
"X4378"	35	23	31	35	38	11	24	37
"X4380"	36	28	28	37	38	11	23	39
"X4382"	40	31	33	40	40	12	23	42
"X4384"	41	31	33	40	41	12	24	42
"X4385"	37	27	29	35	37	11	21	37
"X4387"	41	31	32	40	41	12	24	41
"X4389"	39	30	33	38	39	12	24	40
"X4391"	41	31	33	40	41	12	24	42
"X4395"	41	31	33	40	40	12	24	42
"X4405"	37	30	28	35	40	12	24	40
"X4406"	38	28	31	36	37	12	24	38
"X4409"	38	30	33	37	41	12	22	42
"X4413"	40	30	33	40	40	12	23	40
"X4414"	41	31	33	40	41	12	24	42
"X4421"	40	30	33	40	41	12	24	42
"X443"	39	28	33	33	37	12	22	41
"X4431"	38	29	31	38	38	11	23	37
"X4432"	41	30	33	40	38	12	24	40
"X4433"	38	30	29	39	41	12	23	42
"X4435"	40	30	29	40	41	12	24	42
"X4436"	37	28	32	39	39	12	24	38
"X4438"	38	28	29	36	39	11	24	39
"X4440"	33	30	31	34	36	12	24	38
"X4447"	38	30	32	37	40	12	24	37
"X4448"	36	28	30	35	40	11	24	34
"X4453"	34	26	26	36	34	11	23	34
