"KOD03_097"	"AD06_048"	"WC05_048"	"HS04_048"	"PS12_009"	"GS13_017"	"PWS12_133"	"UP03_048"
"X10560"	41	31	33	40	39	12	24	42
"X10562"	41	31	32	40	41	12	24	42
"X10567"	37	31	30	40	39	10	24	37
"X10568"	39	28	31	37	40	11	24	39
"X1057"	41	31	33	40	41	12	24	42
"X10570"	41	31	32	39	39	12	23	42
"X10573"	41	29	33	39	39	12	23	42
"X10574"	34	30	32	37	35	11	23	41
"X10579"	34	26	30	36	37	11	23	39
"X10582"	40	31	33	40	40	11	24	42
"X10586"	36	27	29	36	37	11	24	36
"X10588"	38	28	31	37	40	11	24	39
"X10590"	41	31	33	40	41	12	24	42
"X10596"	39	30	31	40	40	12	23	40
"X10597"	37	27	29	35	38	11	23	36
"X10598"	38	28	31	37	40	11	23	39
"X106"	41	31	33	40	41	12	24	42
"X10601"	40	30	31	37	38	11	24	42
"X10603"	40	30	31	35	37	10	23	41
"X10604"	39	31	32	40	40	12	24	40
"X10606"	41	31	31	40	40	12	24	42
"X1061"	40	29	33	39	41	12	24	40
"X10611"	41	31	33	40	41	12	24	42
"X10614"	40	31	33	40	41	12	24	42
"X10616"	39	29	33	39	39	12	24	42
"X10617"	35	31	31	37	39	11	23	41
"X10620"	40	31	33	40	41	12	24	42
"X10621"	36	30	33	39	37	12	24	39
"X10623"	36	31	31	37	36	12	23	38
"X10624"	37	27	29	38	38	12	24	35
"X10631"	40	30	33	40	41	12	24	42
"X10632"	41	30	33	39	41	12	24	40
"X10633"	41	31	32	40	41	12	24	42
"X10636"	33	29	27	32	38	11	24	38
"X10637"	41	31	31	38	41	11	23	41
"X10644"	38	31	30	40	36	12	24	41
"X10645"	40	30	27	40	38	11	23	40
"X10646"	38	29	32	39	37	12	23	36
"X10648"	35	26	27	34	39	11	24	36
"X10650"	41	27	29	38	41	12	23	40
"X10658"	33	27	30	37	39	10	24	38
"X10659"	41	31	33	38	40	12	24	40
"X10665"	35	29	27	35	37	11	24	34
"X10669"	38	29	32	37	39	12	24	41
"X1067"	37	31	32	34	38	11	24	40
"X10671"	37	28	32	39	38	12	24	42
"X10672"	41	31	33	40	41	12	24	42
"X10673"	41	30	33	40	40	12	24	42
